date,label
12/14/2021,81.19
12/15/2021,85.71
12/16/2021,74.02
12/19/2021,80.09
12/20/2021,80.94
12/21/2021,76.83
12/22/2021,74.46
12/23/2021,76.31
12/26/2021,76.92
12/27/2021,79.29
12/28/2021,80.36
12/29/2021,80.16
12/30/2021,80.65
1/2/2022,84.01
1/3/2022,84.91
1/4/2022,87.58
1/5/2022,86.74
1/6/2022,85.42
1/9/2022,80.09
1/10/2022,81.3
1/11/2022,80.01
1/12/2022,80.56
1/13/2022,82.08
1/16/2022,80.58
1/17/2022,82.67
1/18/2022,82.09
1/19/2022,85.59
1/20/2022,84.47
1/23/2022,84.02
1/24/2022,87.45
1/25/2022,88.66
1/26/2022,89.76
1/27/2022,89.22
1/30/2022,89.24
1/31/2022,89.52
2/1/2022,94.21
2/2/2022,94.81
2/3/2022,96.45
2/6/2022,96.7
2/7/2022,96.93
2/8/2022,90.79
2/9/2022,90.78
2/10/2022,92.87
2/13/2022,91.76
2/14/2022,91.14
2/15/2022,89.86
2/16/2022,86.44
2/17/2022,89.47
2/20/2022,89.68
2/21/2022,89.77
2/22/2022,95.07
2/23/2022,87.03
2/24/2022,88.14
2/27/2022,82.21
2/28/2022,68.85
3/1/2022,68.49
3/2/2022,67.35
3/3/2022,65.1
3/6/2022,58.3
3/7/2022,68.51
3/8/2022,73.18
3/9/2022,76.41
3/10/2022,76.76
3/13/2022,78.28
3/14/2022,77.43
3/15/2022,78.16
3/16/2022,79.89
3/17/2022,78.89
3/20/2022,78.39
3/21/2022,80.67
3/22/2022,76.6
3/23/2022,78.24
3/24/2022,78.6
3/27/2022,80.81
3/28/2022,81.7
3/29/2022,78.31
3/30/2022,76.48
3/31/2022,78.49
4/3/2022,78.5
4/4/2022,78.05
4/5/2022,77.18
4/6/2022,79.94
4/7/2022,80.09
4/10/2022,77.95
4/11/2022,79.01
4/12/2022,77.44
4/13/2022,79.97
4/18/2022,80.2
4/19/2022,87.82
4/20/2022,86.44
4/21/2022,88.99
4/24/2022,83.46
4/25/2022,82.71
4/26/2022,81.01
4/27/2022,82.68
4/28/2022,84.45
5/1/2022,83.04
5/2/2022,88.19
5/3/2022,88.31
5/4/2022,88.91
5/5/2022,91.54
