date,stoxx50
8/31/2023,4297.11
9/1/2023,4282.64
9/4/2023,4279.87
9/5/2023,4269.16
9/6/2023,4238.26
9/7/2023,4221.02
9/8/2023,4237.19
9/11/2023,4254.33
9/12/2023,4242.27
9/13/2023,4223.48
9/14/2023,4279.75
9/15/2023,4295.05
9/18/2023,4245.88
9/19/2023,4242.7
9/20/2023,4275.98
9/21/2023,4212.59
9/22/2023,4207.16
9/25/2023,4167.37
9/26/2023,4129.18
9/27/2023,4131.68
9/28/2023,4161.56
9/29/2023,4174.66
10/2/2023,4137.63
10/3/2023,4095.59
10/4/2023,4099.85
10/5/2023,4099.81
10/6/2023,4144.43
10/9/2023,4112.57
10/10/2023,4205.23
10/11/2023,4200.8
10/12/2023,4198.23
10/13/2023,4136.12
10/16/2023,4149.86
10/17/2023,4152.32
10/18/2023,4105.86
10/19/2023,4090.33
10/20/2023,4024.68
10/23/2023,4041.75
10/24/2023,4065.37
10/25/2023,4073.35
10/26/2023,4049.4
10/27/2023,4014.36
10/30/2023,4028.32
10/31/2023,4061.12
11/1/2023,4091.71
11/2/2023,4169.62
11/3/2023,4174.67
11/6/2023,4158.64
11/7/2023,4153.37
11/8/2023,4178.49
11/9/2023,4229.2
11/10/2023,4197.36
11/13/2023,4232.19
11/14/2023,4291.72
11/15/2023,4315.53
11/16/2023,4302.45
11/17/2023,4340.77
11/20/2023,4342.41
11/21/2023,4331.9
11/22/2023,4352.02
11/23/2023,4361.32
11/24/2023,4372.1
11/27/2023,4354.41
11/28/2023,4348.02
11/29/2023,4370.53
11/30/2023,4382.47
12/1/2023,4418.51
12/4/2023,4414.95
12/5/2023,4452.77
12/6/2023,4483.26
12/7/2023,4473.77
12/8/2023,4523.31
12/11/2023,4540.19
12/12/2023,4536.61
12/13/2023,4530.19
12/14/2023,4539.16
12/15/2023,4549.44
12/18/2023,4521.13
12/19/2023,4535.4
12/20/2023,4533.82
12/21/2023,4524.86
12/22/2023,4521.47
12/27/2023,4528.38
12/28/2023,4514.38
12/29/2023,4521.65
1/2/2024,4512.81
1/3/2024,4448.13
1/4/2024,4474.01
1/5/2024,4463.51
1/8/2024,4485.48
1/9/2024,4467.17
1/10/2024,4468.98
1/11/2024,4442.28
1/12/2024,4480.02
1/15/2024,4454.68
1/16/2024,4446.51
1/17/2024,4403.08
1/18/2024,4453.05
1/19/2024,4448.83
1/22/2024,4480.32
1/23/2024,4465.91
1/24/2024,4564.11
1/25/2024,4582.26
1/26/2024,4635.47
1/29/2024,4639.36
1/30/2024,4662.7
1/31/2024,4648.4
2/1/2024,4638.6
2/2/2024,4654.55
2/5/2024,4655.27
2/6/2024,4690.87
2/7/2024,4678.85
2/8/2024,4710.78
2/9/2024,4715.87
2/12/2024,4746.35
2/13/2024,4689.28
2/14/2024,4709.22
2/15/2024,4743.17
2/16/2024,4765.65
