date,label," Price Index for Consumer: Energy(electricity, heat, fuel) "
2023-12-02,68.62,158.71499999999995
2023-12-09,67.57,158.78687499999998
2023-12-16,76.94,158.85875
2023-12-23,77.98,158.930625
2023-12-30,73.97,159.0025
2024-01-06,63.8,159.074375
2024-01-13,63.42,159.14624999999998
2024-01-20,63.1,159.218125
2024-01-27,63.5,159.29
2024-02-03,58.8,159.361875
2024-02-10,57.11,159.43375
2024-02-17,52.51,159.50562499999998
2024-02-24,56.31,159.5775
2024-03-02,58.5,159.649375
2024-03-09,59.38,159.72125
2024-03-16,61.5,159.793125
2024-03-23,61.93,159.865
2024-03-30,61.01,159.936875
2024-04-06,71.64,160.00875
2024-04-13,68.52,160.080625
2024-04-20,67.51,160.1525
2024-04-27,71.84,160.224375
2024-05-04,71.59,160.29625
2024-05-11,70.52,160.368125
2024-05-18,75.78,160.44
2024-05-25,74.07,160.511875
2024-06-01,71.42,160.58375
2024-06-08,68.53,160.655625
2024-06-15,68.05,160.7275
2024-06-22,67.36,160.799375
2024-06-29,70.35,160.87125
2024-07-06,69.35,160.943125
2024-07-13,66.0,161.015
2024-07-20,67.87,161.086875
2024-07-27,70.58,161.15875
2024-08-03,70.14,161.230625
2024-08-10,72.52,161.3025
2024-08-17,71.13,161.374375
2024-08-24,70.3,161.44625
2024-08-31,66.5,161.518125
2024-09-07,64.99,161.59
2024-09-14,63.39,161.79615384615386
2024-09-21,66.33,162.0023076923077
2024-09-28,62.05,162.2084615384615
2024-10-05,64.62,162.4146153846154
2024-10-12,62.28,162.62076923076924
2024-10-19,66.97,162.8269230769231
2024-10-26,63.87,163.03307692307692
2024-11-02,68.02,163.23923076923077
2024-11-09,68.01,163.44538461538465
2024-11-16,69.27,163.65153846153848
2024-11-23,69.12,163.8576923076923
2024-11-30,69.0,164.06384615384616
2024-12-07,65.11,164.27
2024-12-14,66.85,164.27
2024-12-21,70.15,164.27
2024-12-28,74.45,164.27
2025-01-04,73.34,164.27
2025-01-11,77.6,164.27
2025-01-18,79.95,164.27
2025-01-25,82.19,164.27
2025-02-01,80.65,164.27
2025-02-08,78.12,164.27
2025-02-15,72.37,164.27
2025-02-22,69.56,164.27
2025-03-01,67.21,164.27
2025-03-08,70.06,164.27
2025-03-15,70.51,
2025-03-22,67.91,
2025-03-29,63.08,
2025-04-05,64.08,
2025-04-12,65.12,
