date,label,sentiment
2020-04-22,21.82,-0.49948
2020-04-23,21.53,-0.9494
2020-04-26,21.09,0.0
2020-04-27,21.04,-0.96268
2020-04-28,21.0,-0.96603
2020-04-29,20.39,-0.68195
2020-04-30,19.8,0.470989
2020-05-03,20.18,0.0
2020-05-04,19.92,0.611426
2020-05-05,19.83,-0.88115
2020-05-06,20.35,-0.97267
2020-05-07,20.17,-0.68184
2020-05-10,19.86,0.0
2020-05-11,19.31,0.0
2020-05-12,19.46,0.860379
2020-05-13,19.62,0.851694
2020-05-14,19.96,0.0
2020-05-17,21.14,0.0
2020-05-18,20.76,-0.73392
2020-05-19,22.06,0.755006
2020-05-20,21.97,-0.91139
2020-05-21,22.19,-0.95691
2020-05-24,22.38,0.0
2020-05-25,22.4,-0.8588
2020-05-26,22.13,0.468917
2020-05-27,22.04,0.807773
2020-05-28,22.18,-0.96998
2020-05-31,21.75,0.0
2020-06-01,22.84,-0.92487
2020-06-02,22.85,0.0
2020-06-03,22.98,0.743012
2020-06-04,24.02,-0.5379
2020-06-07,23.48,0.0
2020-06-08,23.24,-0.97161
2020-06-09,23.68,0.616071
2020-06-10,23.04,-0.48601
2020-06-11,22.78,0.866608
2020-06-14,22.93,0.0
2020-06-15,23.55,0.737743
2020-06-16,23.52,0.873083
2020-06-17,25.23,0.944283
2020-06-18,24.92,-0.97086
2020-06-21,25.28,0.0
2020-06-22,26.15,0.917097
2020-06-23,26.14,-0.97031
2020-06-24,25.92,-0.96095
2020-06-25,25.46,-0.8317
2020-06-28,27.35,0.0
2020-06-29,27.68,0.951204
2020-06-30,28.42,0.0
2020-07-01,28.09,-0.51493
2020-07-02,28.64,-0.97222
2020-07-05,30.43,0.0
2020-07-06,30.12,0.847533
2020-07-07,30.06,-0.87697
2020-07-08,29.37,0.834438
2020-07-09,29.78,-0.93436
2020-07-12,30.14,0.0
2020-07-13,30.46,0.940244
2020-07-14,29.7,-0.60759
2020-07-15,27.67,0.93895
2020-07-16,28.76,-0.84467
2020-07-19,27.1,0.0
2020-07-20,27.51,-0.8497
2020-07-21,27.53,0.816972
2020-07-22,28.23,0.927953
2020-07-23,27.27,-0.55733
2020-07-26,25.91,0.0
2020-07-27,26.67,-0.90464
2020-07-28,27.13,-0.90639
2020-07-29,26.48,-0.96751
2020-07-30,27.22,0.63777
2020-08-02,27.08,0.0
2020-08-03,27.75,0.0
2020-08-04,27.69,-0.88543
2020-08-05,27.3,0.0
2020-08-06,27.32,-0.85813
2020-08-09,27.6,0.0
2020-08-10,27.08,-0.92487
2020-08-11,26.87,-0.92211
2020-08-12,26.3,-0.95231
2020-08-13,26.36,0.864538
2020-08-16,27.17,0.0
2020-08-17,27.41,-0.35703
2020-08-18,27.08,0.50957
2020-08-19,26.75,0.713309
2020-08-20,26.48,0.6381
2020-08-23,28.32,0.0
2020-08-24,29.46,-0.57258
2020-08-25,29.48,-0.84217
2020-08-26,29.23,-0.93958
2020-08-27,30.38,0.925937
2020-08-30,29.53,0.0
2020-08-31,28.61,-0.9522
2020-09-01,29.06,0.678421
2020-09-02,29.53,0.951948
2020-09-03,28.13,-0.78505
2020-09-06,27.81,0.0
2020-09-07,27.53,-0.49803
2020-09-08,27.94,0.7136
2020-09-09,29.15,0.0
2020-09-10,28.99,0.731436
2020-09-13,31.2,0.0
2020-09-14,30.53,0.931848
2020-09-15,30.71,0.652832
2020-09-16,29.13,0.858519
2020-09-17,28.68,0.0
2020-09-20,27.05,0.0
2020-09-21,28.47,0.0
2020-09-22,27.12,0.636546
2020-09-23,27.4,0.602589
2020-09-24,26.75,0.772862
2020-09-27,28.28,0.0
2020-09-28,27.36,-0.79
2020-09-29,27.5,-0.46614
2020-09-30,27.07,-0.97204
2020-10-01,27.59,0.702741
2020-10-04,27.49,0.0
2020-10-05,27.34,0.645723
2020-10-06,27.44,0.814052
2020-10-07,26.88,-0.93478
2020-10-08,26.24,-0.89797
2020-10-11,26.4,0.0
2020-10-12,25.74,0.570104
2020-10-13,26.28,-0.58906
2020-10-14,25.48,0.575472
2020-10-15,25.4,0.594238
2020-10-18,25.49,0.0
2020-10-19,24.92,-0.75794
2020-10-20,24.06,-0.9617
2020-10-21,24.68,-0.89134
2020-10-22,25.98,-0.97575
2020-10-25,24.35,0.0
2020-10-26,24.55,-0.9333
2020-10-27,23.52,-0.76628
2020-10-28,24.15,-0.96718
2020-10-29,24.19,-0.96729
2020-11-01,24.15,0.0
2020-11-02,24.86,-0.79083
2020-11-03,25.57,0.909227
2020-11-04,26.43,0.528894
